name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;385;0;339;3075;1093;3075;1070;0
header;172;115;172;149;1863;149;1863;115
A;1005;194;1005;216;1020;216;1020;194
A;798;417;798;424;805;424;805;417
B;1008;815;1008;839;1025;839;1025;815
A;817;1047;817;1052;822;1052;822;1047
C;1009;1527;1009;1550;1028;1550;1028;1527
A;567;1539;567;1546;574;1546;574;1539
B;401;1884;401;1911;415;1911;415;1884
D;1020;2147;1020;2171;1039;2171;1039;2147
A;809;2163;809;2169;815;2169;815;2163
A;617;2791;617;2807;627;2807;627;2791
